year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,2
2020,cancers,20,female,total,6
2020,cancers,25,female,total,19
2020,cancers,30,female,total,30
2020,cancers,35,female,total,40
2020,cancers,40,female,total,47
2020,cancers,45,female,total,49
2020,cancers,50,female,total,46
2020,cancers,55,female,total,40
2020,cancers,60,female,total,31
2020,cancers,65,female,total,24
2020,cancers,70,female,total,17
2020,cancers,75,female,total,11
2020,cancers,80,female,total,6
2020,cancers,85,female,total,3
